Province,Rain,Drought,Test
A Dakhliya,0,0,1
A Sharqiya,0,0,1
A.M. Kai Thraki,26,0,1
Észak-Alföld,18,3,1
Észak-Magyar.,23,7,1
Aaland,9,8,1
Abia,10,4,1
Abidjan,8,4,1
Abkhazia ,8,1,1
Abruzzi,7,1,1
Absheron,0,0,1
Abu Dhabi,14,0,1
Abyan,0,0,1
Acre,19,0,1
Adamaoua,11,0,1
Adamawa,5,2,1
Adana,10,0,1
Aden,0,0,1
Adiyaman,7,7,1
Adjara Aut. Rep.,12,8,1
Adrar,0,0,2
Adygeya Rep.,15,7,1
Afar 1,7,0,1
Afar 2,0,0,1
Afar 3,14,8,1
Afar 4,0,0,1
Afar 5,0,0,1
Afder,0,0,1
Afyon,23,2,1
Agadez,0,0,1
Aginskiy B.A.O.,0,0,1
Agnuak,0,0,1
Agri,35,8,1
Aguascalientes,17,9,1
Ahal,8,12,1
Ain-Defla,11,8,1
Ain-Temouchent,11,4,1
Aiti,17,0,1
Ajdabiya,0,0,1
Ajloon,3,7,1
Akershus,16,12,1
Akita,13,0,1
Akmolinskaya,15,8,1
Aksaray,11,5,1
Aktyubinskaya,25,10,1
Akwa Ibom,13,8,1
Al Aziziyah,12,8,1
Al Batnah,24,7,1
Al Bayda,0,6,1
Al Dhahira,0,0,1
Al Dhale'e,3,8,1
Al Fatah,7,5,1
Al Hudaydah,3,0,1
Al Jabal A.K.,8,9,1
Al Jawf,0,0,1
Al Jazeera,2,5,1
Al Jufrah,0,0,1
Al Khoms,6,9,1
Al Kufrah,0,0,1
Al Maharah,0,0,1
Al Mahwit,2,3,1
Al Wusta,0,0,1
Al_Qunaytirah,9,2,1
Alaba,6,4,1
Alabama,7,0,1
Alagoas,4,3,1
Alajuela,22,0,1
Alaotra Mangoro,45,2,1
Alaska,0,0,1
Alba,22,13,1
Albania,17,7,1
Alberta,19,3,1
Aleppo,7,9,1
Alexandria,0,3,1
Alger,12,14,1
Alibori,6,2,1
Almatinskaya,22,0,1
Almaty City area,0,0,1
Alsace,9,0,1
Altay Rep.,0,0,1
Altayskiy Kray,7,5,1
Alto Paraguay,8,5,1
Alto Parana,17,14,1
Alytaus,9,11,1
Amambay,14,0,1
Amanat Al Asimah,0,4,1
Amapa,0,0,1
Amasya,27,9,1
Amazonas,34,0,4
Amman,3,6,1
Amnat Charoen,5,4,1
Amoron I Mania,17,0,1
Amran,0,4,1
Amurskaya ,8,0,1
An Giang,14,0,1
Analamanga,9,0,1
Analanjirofo,42,0,1
Anambra,5,2,1
Anbar,7,0,1
Ancash,2,3,1
Andalucía,9,0,1
Andaman,36,4,1
Andhra Pradesh,15,2,1
Andijan,10,3,1
Andorra,0,0,1
Androy,20,21,1
Ang Thong,19,1,1
Anhui Sheng,20,0,1
Ankara,18,10,1
Annaba,3,9,1
Anosy,28,8,1
Anseba,11,2,1
Antalya,12,0,1
Antigua,0,0,1
Antioquia,6,0,1
Antofagasta,0,0,1
Anzoategui,16,21,1
Aomori,11,0,1
Apurímac,6,0,1
Apure,16,0,1
Aqaba,0,0,1
Aquitaine,5,0,1
Arad,17,0,1
Aragón,11,0,1
Aragua,9,15,1
Aran,42,4,1
Arauca,17,0,1
Araucania,8,0,1
Archipelagos,0,0,1
Ardahan,19,7,1
Ardebil,33,0,1
Area under NA,0,0,1
Area under NA 1,0,0,1
Arequipa,8,0,1
Arges,20,10,1
Ariana,4,9,1
Arica,0,0,1
