asap1_id,Region,Rain,Drought,Country,Continent
1,Madre de Dios,0.0,0.0,Peru,South America
2,Moquegua,7.0,4.0,Peru,South America
3,Notio Aigaio,12.0,6.0,Greece,Europe
4,Quinara,0.0,0.0,Guinea-Bissau,Africa
5,Nakuru,12.0,6.0,Kenya,Africa
6,Northern,0.0,0.0,Sudan,Africa
7,Ostgronland,0.0,0.0,Greenland,North America
8,Azuay,18.0,0.0,Ecuador,South America
9,Taninthayi,39.0,0.0,Myanmar,Asia
10,Bolivar,16.0,0.0,Ecuador,South America
11,Canar,12.0,0.0,Ecuador,South America
12,Hukusima,23.0,0.0,Japan,Asia
13,Guelma,9.0,6.0,Algeria,Africa
14,Rondonia,7.0,0.0,Brazil,South America
16,Mila,5.0,8.0,Algeria,Africa
17,Magallanes,0.0,0.0,Chile,South America
18,Skikda,5.0,9.0,Algeria,Africa
19,Zanjan,20.0,6.0,Iran,Asia
20,Nimba,13.0,2.0,Liberia,Africa
21,Zambezi,10.0,19.0,Namibia,Africa
22,Tamaulipas,13.0,9.0,Mexico,North America
23,Bong,10.0,1.0,Liberia,Africa
24,Tubruq (tobruk),2.0,4.0,Libya,Africa
25,Sindh,2.0,0.0,Pakistan,Asia
26,Djibouti,0.0,0.0,Djibouti,Africa
27,Paktika,12.0,10.0,Afghanistan,Asia
28,Setif,5.0,10.0,Algeria,Africa
29,Hukuoka,12.0,0.0,Japan,Asia
30,Distrito Capital,0.0,0.0,Venezuela,South America
31,Banadir,0.0,0.0,Somalia,Africa
32,Southern,11.0,0.0,Sri Lanka,Asia
33,Georgia,6.0,0.0,USA,North America
34,Orxon,0.0,0.0,Mongolia,Asia
35,Rivercess,0.0,0.0,Liberia,Africa
36,Portugal,15.0,25.0,Portugal,Europe
37,California,6.0,0.0,USA,North America
38,Siaya,12.0,3.0,Kenya,Africa
40,Loja,2.0,0.0,Ecuador,South America
41,Keiyo-Marakwet,11.0,0.0,Kenya,Africa
42,Umm AL Quwain,0.0,0.0,U.A.E.,Asia
43,Faroe Islands,0.0,0.0,Faroe Islands,Europe
45,Paktya,30.0,6.0,Afghanistan,Asia
46,Eastern,9.0,0.0,Ghana,Africa
47,Amazonas,15.0,0.0,Brazil,South America
48,Binh Phuoc,16.0,0.0,Viet Nam,Asia
49,Zamora Chinchipe,0.0,0.0,Ecuador,South America
50,Bahia,13.0,13.0,Brazil,South America
51,Chagang-do,12.0,0.0,North Korea,Asia
52,Bihar,20.0,2.0,India,Asia
53,Cortes,15.0,0.0,Honduras,North America
54,Relizane,13.0,8.0,Algeria,Africa
55,Ionioi Nisoi,22.0,0.0,Greece,Europe
56,Far West,20.0,2.0,Nepal,Asia
57,South Australia,5.0,13.0,Australia,Oceania
58,Tlemcen,11.0,8.0,Algeria,Africa
59,Apurímac,6.0,0.0,Peru,South America
60,Androy,20.0,21.0,Madagascar,Africa
61,Terengganu,6.0,0.0,Malaysia,Asia
62,La Rioja,14.0,4.0,Spain,Europe
63,Lebanon,6.0,0.0,Lebanon,Asia
65,Cuvette Ovest,0.0,0.0,Congo,Africa
66,Tocantins,6.0,0.0,Brazil,South America
67,Sicilia,7.0,0.0,Italy,Europe
69,Trentino,6.0,0.0,Italy,Europe
71,Khenchela,5.0,3.0,Algeria,Africa
72,Nana-Gribizi,0.0,0.0,Central Africa,Africa
73,N. De Santander,17.0,0.0,Colombia,South America
74,Putumayo,0.0,0.0,Colombia,South America
75,Zanzan,12.0,0.0,Côte d'Ivoire,Africa
76,Bas Sassandra,13.0,0.0,Côte d'Ivoire,Africa
77,Ouham Pendé,6.0,0.0,Central Africa,Africa
78,Meta,11.0,0.0,Colombia,South America
79,Narino,15.0,0.0,Colombia,South America
83,Kuril islands,0.0,0.0,Kuril islands,Asia
84,Kuwait,0.0,0.0,Kuwait,Asia
85,Umbria,18.0,0.0,Italy,Europe
86,Vaupes,7.0,0.0,Colombia,South America
87,Sucumbios,2.0,0.0,Ecuador,South America
88,Cuvette,0.0,0.0,Congo,Africa
89,Latvia,3.0,3.0,Latvia,Europe
90,Republika Srpska,3.0,0.0,Bosnia Herzeg.,Europe
91,Central,12.0,22.0,Botswana,Africa
92,Plateaux,0.0,0.0,Congo,Africa
93,Oum El Bouaghi,4.0,6.0,Algeria,Africa
94,Sangha,0.0,0.0,Congo,Africa
95,Himachal Pradesh,25.0,0.0,India,Asia
96,Lombardia,11.0,1.0,Italy,Europe
97,Hukui,16.0,0.0,Japan,Asia
98,Kalimantan S.,21.0,0.0,Indonesia,Asia
99,Puglia,16.0,0.0,Italy,Europe
101,Logar,16.0,8.0,Afghanistan,Asia
103,Mid West,33.0,0.0,Nepal,Asia
106,Upper West,7.0,1.0,Ghana,Africa
107,Eastern Finland,12.0,1.0,Finland,Europe
108,Sardegna,19.0,1.0,Italy,Europe
109,Gifu,16.0,0.0,Japan,Asia
110,Gunma,17.0,0.0,Japan,Asia
111,Hirosima,16.0,0.0,Japan,Asia
113,West,20.0,4.0,Nepal,Asia
114,Auckland,4.0,0.0,New Zealand,Oceania
115,Kalimantan T.,10.0,0.0,Indonesia,Asia
116,Nangarhar,18.0,2.0,Afghanistan,Asia
117,Sabah,6.0,0.0,Malaysia,Asia
119,Meknès,14.0,4.0,Morocco,Africa
120,Oriental,14.0,10.0,Morocco,Africa
121,Cabo Delgado,2.0,0.0,Mozambique,Africa
122,Gaza,11.0,8.0,Mozambique,Africa
123,Inhambane,8.0,0.0,Mozambique,Africa
124,Cajamarca,15.0,0.0,Peru,South America
125,Manica,8.0,3.0,Mozambique,Africa
126,Huancavelica,9.0,0.0,Peru,South America
127,Nampula,12.0,0.0,Mozambique,Africa
128,Hyoogo,12.0,0.0,Japan,Asia
129,Niassa,8.0,1.0,Mozambique,Africa
130,Zambezia,10.0,0.0,Mozambique,Africa
131,Sofala,6.0,4.0,Mozambique,Africa
132,Khatlon,9.0,2.0,Tajikistan,Asia
133,Tete,9.0,3.0,Mozambique,Africa
134,Mombasa,0.0,0.0,Kenya,Africa
135,Badakhshoni Kuni,0.0,0.0,Tajikistan,Asia
136,Kyooto,18.0,0.0,Japan,Asia
137,Arequipa,8.0,0.0,Peru,South America
138,Ica,0.0,0.0,Peru,South America
139,Ayacucho,7.0,0.0,Peru,South America
140,Okinawa,7.0,0.0,Japan,Asia
141,Cusco,15.0,0.0,Peru,South America
142,Huánuco,21.0,0.0,Peru,South America
143,Kumamoto,12.0,0.0,Japan,Asia
144,Hokkaidoo,9.0,0.0,Japan,Asia
146,Miyagi,26.0,0.0,Japan,Asia
147,Miyazaki,14.0,0.0,Japan,Asia
148,Bremen,0.0,0.0,Germany,Europe
149,Nagasaki,14.0,0.0,Japan,Asia
150,Okayama,18.0,0.0,Japan,Asia
151,Junín,9.0,0.0,Peru,South America
152,Lima,0.0,0.0,Peru,South America
153,La Libertad,2.0,3.0,Peru,South America
154,Lambayeque,0.0,0.0,Peru,South America
155,Moskva,0.0,0.0,Russian Fed.,Asia
156,Khakasiya Rep.,9.0,8.0,Russian Fed.,Asia
158,Sogd,11.0,6.0,Tajikistan,Asia
160,Tadzhikistan T.,6.0,3.0,Tajikistan,Asia
161,Samut Prakarn,22.0,0.0,Thailand,Asia
163,Aaland,9.0,8.0,Finland,Europe
164,Binh Duong,7.0,0.0,Viet Nam,Asia
165,Bioko Norte,0.0,0.0,Equat. Guinea,Africa
166,Kilimanjaro,16.0,8.0,Tanzania,Africa
168,Yukon,0.0,0.0,Canada,North America
169,Haute-Kotto,0.0,0.0,Central Africa,Africa
170,Mbomou,0.0,0.0,Central Africa,Africa
171,Ouaka,9.0,0.0,Central Africa,Africa
172,Ouham,7.0,0.0,Central Africa,Africa
173,A Dakhliya,0.0,0.0,Oman,Asia
174,Maule,3.0,0.0,Chile,South America
175,Tbilisi,0.0,0.0,Georgia,Europe
176,Gorontalo,11.0,0.0,Indonesia,Asia
177,Metropolitana,10.0,0.0,Chile,South America
178,Binh Thuan,14.0,1.0,Viet Nam,Asia
180,Takhar,9.0,1.0,Afghanistan,Asia
181,Dki Jakarta,0.0,0.0,Indonesia,Asia
182,Chaouia,3.0,8.0,Morocco,Africa
183,Bernardo Higgins,4.0,0.0,Chile,South America
184,Kiribati,0.0,0.0,Kiribati,Oceania
186,La Habana,6.0,0.0,Cuba,North America
188,Callao,0.0,0.0,Peru,South America
191,Ariana,4.0,9.0,Tunisia,Africa
192,Limousin,13.0,0.0,France,Europe
193,Kharkivs'ka,20.0,17.0,Ukraine,Europe
194,Barbados,0.0,0.0,Barbados,North America
195,Kolda,4.0,0.0,Senegal,Africa
196,Mie,15.0,0.0,Japan,Asia
197,Kakamega,25.0,0.0,Kenya,Africa
198,Akita,13.0,0.0,Japan,Asia
199,Ha Nam,19.0,1.0,Viet Nam,Asia
200,Pusan,0.0,0.0,South Korea,Asia
202,Mjini Magharibi,0.0,0.0,Tanzania,Africa
203,Kusini Pemba,0.0,0.0,Tanzania,Africa
204,Prachuap K.,14.0,1.0,Thailand,Asia
206,Alagoas,4.0,3.0,Brazil,South America
207,Van,24.0,8.0,Turkey,Asia
208,Fatick,1.0,8.0,Senegal,Africa
209,Hunan Sheng,14.0,0.0,China,Asia
210,Erzurum,37.0,6.0,Turkey,Asia
211,Archipelagos,0.0,0.0,Eritrea,Africa
213,Wien,0.0,0.0,Austria,Europe
214,Tunis,0.0,0.0,Tunisia,Africa
216,Mayotte,0.0,0.0,Mayotte,Africa
217,Niue,0.0,0.0,Niue,Oceania
218,Netherlands A.,0.0,0.0,Nether. Antilles,South America
219,Kaskazini Pemba,0.0,0.0,Tanzania,Africa
220,Dominica,0.0,0.0,Dominica,North America
221,Taejon,9.0,0.0,South Korea,Asia
222,Alger,12.0,14.0,Algeria,Africa
224,Ben Arous,7.0,6.0,Tunisia,Africa
225,Biombo,0.0,0.0,Guinea-Bissau,Africa
227,Kaskazini Unguja,0.0,0.0,Tanzania,Africa
228,Dien Bien,24.0,0.0,Viet Nam,Asia
229,Kusini Unguja,0.0,0.0,Tanzania,Africa
230,Lam Dong,18.0,0.0,Viet Nam,Asia
232,Taegu,12.0,0.0,South Korea,Asia
234,Lamu,10.0,7.0,Kenya,Africa
235,Vihiga,13.0,0.0,Kenya,Africa
236,Canindeyu,27.0,3.0,Paraguay,South America
238,Inchon,0.0,0.0,South Korea,Asia
239,Nouakchott,0.0,0.0,Mauritania,Africa
240,Zachodnio,9.0,3.0,Poland,Europe
